Row_ID,title,model,battery,price-range,0 - 100,Top Speed,Range*,Efficiency*,Fastcharge*,Germany_price_before_incentives,Netherlands_price_before_incentives,UK_price_after_incentives,Drive_Configuration,Tow_Hitch,Towing_capacity_in_kg,Number_of_seats
1,Tesla,Model 3,57.5,104,6.1 sec,201 km/h,415 km,139 Wh/km,690 km/h,"€41,970","€41,990","£39,990",Rear Wheel Drive,Towbar possible,1000,5
2,Tesla,Model Y,57.5,137,6.9 sec,217 km/h,350 km,164 Wh/km,580 km/h,"€45,970","€45,990","£44,990",Rear Wheel Drive,Towbar possible,1600,5
3,Tesla,Model Y Long Range Dual Motor,75,130,5.0 sec,217 km/h,435 km,172 Wh/km,670 km/h,"€55,970","€52,990","£52,990",All Wheel Drive,Towbar possible,1600,5
4,Tesla,Model 3 Long Range Dual Motor,75,106,4.4 sec,201 km/h,500 km,150 Wh/km,770 km/h,"€50,970","€49,990","£49,990",All Wheel Drive,Towbar possible,1000,5
5,Tesla,Model Y Long Range RWD,75,109,5.9 sec,217 km/h,460 km,163 Wh/km,710 km/h,"€49,970","€49,990",N/A,Rear Wheel Drive,Towbar possible,1600,5
6,Byd,ATTO 3,60.5,121,7.3 sec,160 km/h,330 km,183 Wh/km,370 km/h,"€37,990","€38,990","£37,195",Front Wheel Drive,,,5
7,Mg,MG4 Electric 64 kWh,61.7,102,7.9 sec,160 km/h,360 km,171 Wh/km,630 km/h,"€39,990","€35,785","£29,495",Rear Wheel Drive,Towbar possible,500,5
8,Byd,SEAL 82.5 kWh AWD Excellence,82.5,107,3.8 sec,180 km/h,490 km,168 Wh/km,540 km/h,"€50,990","€50,990","£48,695",All Wheel Drive,,,5
9,Tesla,Model Y Performance,75,152,3.8 sec,250 km/h,415 km,181 Wh/km,640 km/h,"€60,790","€58,990","£59,990",All Wheel Drive,Towbar possible,1600,5
10,Bmw,i4 eDrive40,80.7,122,5.7 sec,190 km/h,515 km,157 Wh/km,800 km/h,"€59,200","€62,992","£57,890",Rear Wheel Drive,Towbar possible,1600,5
11,Citroen,e-C3,44,90,11.0 sec,135 km/h,265 km,166 Wh/km,340 km/h,"€23,300","€24,290","* £21,000",Front Wheel Drive,Towbar possible,550,5
12,Bmw,iX xDrive40,71,225,6.1 sec,200 km/h,360 km,197 Wh/km,480 km/h,"€77,300","€84,998","£69,905",All Wheel Drive,Towbar possible,2500,5
13,Volkswagen,ID.4 Pro,77,114,6.7 sec,180 km/h,435 km,177 Wh/km,650 km/h,"€46,335","€49,990","£46,035",Rear Wheel Drive,Towbar possible,1000,5
14,Byd,DOLPHIN 60.4 kWh,60.5,101,7.0 sec,160 km/h,340 km,178 Wh/km,340 km/h,"€32,990","€35,490","£30,195",Front Wheel Drive,Towbar possible,0,5
15,Volvo,EX30 Single Motor ER,64,118,5.3 sec,180 km/h,360 km,178 Wh/km,600 km/h,"€41,790","€41,495","£38,545",Rear Wheel Drive,Towbar possible,1400,5
16,Tesla,Model S Plaid,95,199,2.3 sec,282 km/h,560 km,170 Wh/km,780 km/h,"€110,970","€108,990","* £100,000",All Wheel Drive,Towbar possible,1600,5
17,Tesla,Model S Dual Motor,95,167,3.2 sec,250 km/h,575 km,165 Wh/km,800 km/h,"€95,970","€93,990","* £85,000",All Wheel Drive,Towbar possible,1600,5
18,Kia,Niro EV,64.8,111,7.8 sec,167 km/h,385 km,168 Wh/km,390 km/h,"€45,690","€39,995","£37,295",Front Wheel Drive,Towbar possible,750,5
19,Hyundai,Kona Electric 65 kWh,65.4,116,7.8 sec,170 km/h,390 km,168 Wh/km,400 km/h,"€47,190","€43,995","£38,595",Front Wheel Drive,Towbar possible,750,5
